verdaxis-backend  | INFO:     194.39.246.22:50588 - "GET /api/notifications/ HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50587 - "GET /api/ports HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50590 - "OPTIONS /api/vessels HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50591 - "OPTIONS /api/vessels HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50592 - "GET /api/notifications/ HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50593 - "OPTIONS /api/notifications/unread-count HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50588 - "GET /api/vessels HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50594 - "GET /api/vessels HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50587 - "GET /api/notifications/unread-count HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50588 - "GET /api/notifications/unread-count HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50595 - "GET /api/vessels HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50595 - "GET /api/vessels HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50597 - "OPTIONS /api/listings?fuel_type=Methanol HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50598 - "OPTIONS /api/listings?fuel_type=Methanol HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50599 - "GET /api/listings?fuel_type=Methanol HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50599 - "GET /api/listings?fuel_type=Methanol HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50601 - "OPTIONS /api/orders HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50602 - "POST /api/orders HTTP/1.1" 201 Created
verdaxis-backend  | INFO:     194.39.246.22:50604 - "GET /api/notifications HTTP/1.1" 307 Temporary Redirect
verdaxis-backend  | INFO:     194.39.246.22:50604 - "GET /api/notifications/ HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50604 - "GET /api/notifications/unread-count HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50609 - "POST /api/auth/login HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50609 - "GET /api/auth/me HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50609 - "GET /api/notifications HTTP/1.1" 307 Temporary Redirect
verdaxis-backend  | INFO:     194.39.246.22:50609 - "OPTIONS /api/orders/incoming HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50612 - "OPTIONS /api/orders/incoming HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50613 - "GET /api/notifications/ HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50614 - "GET /api/orders/incoming HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50613 - "GET /api/orders/incoming HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50614 - "GET /api/notifications/unread-count HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50631 - "GET /api/notifications HTTP/1.1" 307 Temporary Redirect
verdaxis-backend  | INFO:     194.39.246.22:50631 - "GET /api/notifications/ HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50631 - "GET /api/notifications/unread-count HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50654 - "GET /api/notifications HTTP/1.1" 307 Temporary Redirect
verdaxis-backend  | INFO:     194.39.246.22:50654 - "GET /api/notifications/ HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50654 - "GET /api/notifications/unread-count HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50663 - "OPTIONS /api/notifications/603b510b-0f7a-40d1-857f-b828e48a324f/read HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50664 - "PATCH /api/notifications/603b510b-0f7a-40d1-857f-b828e48a324f/read HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50665 - "OPTIONS /api/orders/0e0adef2-a157-4a40-a7ba-09ff27be78d8/respond HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50666 - "PUT /api/orders/0e0adef2-a157-4a40-a7ba-09ff27be78d8/respond HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50666 - "GET /api/orders/incoming HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50666 - "OPTIONS /api/listings/my HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50667 - "OPTIONS /api/listings/my HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50668 - "GET /api/listings/my HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50668 - "GET /api/listings/my HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50670 - "POST /api/auth/login HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50670 - "GET /api/auth/me HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50670 - "GET /api/notifications HTTP/1.1" 307 Temporary Redirect
verdaxis-backend  | INFO:     194.39.246.22:50671 - "GET /api/ports HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50670 - "GET /api/notifications/ HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50671 - "GET /api/ports HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50670 - "GET /api/vessels HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50672 - "GET /api/notifications/unread-count HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50671 - "GET /api/ports HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50673 - "GET /api/vessels HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50675 - "GET /api/listings?fuel_type=Methanol HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50675 - "GET /api/listings?fuel_type=Methanol HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50709 - "GET /api/auth/me HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50709 - "GET /api/auth/me HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50710 - "GET /api/ports HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50711 - "GET /api/notifications HTTP/1.1" 307 Temporary Redirect
verdaxis-backend  | INFO:     194.39.246.22:50709 - "GET /api/ports HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50711 - "GET /api/notifications HTTP/1.1" 307 Temporary Redirect
verdaxis-backend  | INFO:     194.39.246.22:50710 - "GET /api/notifications/ HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50712 - "GET /api/vessels HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50713 - "GET /api/ports HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50711 - "GET /api/notifications/ HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50709 - "GET /api/vessels HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50710 - "GET /api/notifications/unread-count HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50711 - "GET /api/notifications/unread-count HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50711 - "GET /api/listings?fuel_type=Methanol HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50710 - "GET /api/listings?fuel_type=Methanol HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50715 - "GET /api/notifications HTTP/1.1" 307 Temporary Redirect
verdaxis-backend  | INFO:     194.39.246.22:50715 - "GET /api/notifications/ HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50715 - "GET /api/notifications/unread-count HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50740 - "GET /api/notifications HTTP/1.1" 307 Temporary Redirect
verdaxis-backend  | INFO:     194.39.246.22:50740 - "GET /api/notifications/ HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50740 - "GET /api/notifications/unread-count HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50749 - "GET /api/notifications HTTP/1.1" 307 Temporary Redirect
verdaxis-backend  | INFO:     194.39.246.22:50749 - "GET /api/notifications/ HTTP/1.1" 200 OK
verdaxis-backend  | INFO:     194.39.246.22:50749 - "GET /api/notifications/unread-count HTTP/1.1" 200 OK
